ax,ay,az,gx,gy,gz,type
8264.0,-9124.0,-10440.0,456.0,-1013.0,-2220.0,crawl
7496.0,-7776.0,-10760.0,-695.0,8.0,227.0,crawl
7676.0,-7760.0,-11064.0,1205.0,-1319.0,-1389.0,crawl
7052.0,-7032.0,-10848.0,-895.0,1063.0,3033.0,crawl
8436.0,-7948.0,-11012.0,-24.0,-490.0,2636.0,crawl
7768.0,-7764.0,-11072.0,145.0,-102.0,-136.0,crawl
7320.0,-7344.0,-10884.0,-206.0,-357.0,-560.0,crawl
8500.0,-5648.0,-12104.0,-4615.0,871.0,1006.0,crawl
7584.0,-6596.0,-11040.0,536.0,-877.0,71.0,crawl
9356.0,-7080.0,-12560.0,2760.0,-602.0,3540.0,crawl
6828.0,-8864.0,-10896.0,-333.0,-1350.0,-805.0,crawl
7896.0,-7708.0,-11244.0,-375.0,160.0,-263.0,crawl
7540.0,-7212.0,-11144.0,-45.0,-180.0,633.0,crawl
6292.0,-7160.0,-11220.0,-554.0,-402.0,-316.0,crawl
6880.0,-7484.0,-11088.0,-408.0,-183.0,-254.0,crawl
7044.0,-7484.0,-11440.0,-232.0,-247.0,-1270.0,crawl
8488.0,-6356.0,-12108.0,-221.0,-218.0,-868.0,crawl
7764.0,-7080.0,-11300.0,-733.0,317.0,-206.0,crawl
7124.0,-6520.0,-11160.0,-222.0,-356.0,-575.0,crawl
7864.0,-7592.0,-11488.0,-1782.0,1915.0,7289.0,crawl
6736.0,-7068.0,-11876.0,1162.0,-367.0,-718.0,crawl
7096.0,-7784.0,-11344.0,-212.0,1334.0,-26.0,crawl
8212.0,-7536.0,-11224.0,-602.0,248.0,624.0,crawl
8120.0,-7064.0,-11572.0,228.0,-341.0,-1428.0,crawl
5964.0,-11268.0,-7620.0,178.0,459.0,221.0,crawl
448.0,-556.0,-13664.0,-7840.0,-204.0,12381.0,crawl
-3648.0,-19284.0,-10736.0,-9095.0,20785.0,32767.0,crawl
-3616.0,-16440.0,20.0,32767.0,-2513.0,16444.0,crawl
1116.0,-9880.0,11860.0,12345.0,-21907.0,22262.0,crawl
11420.0,-12284.0,-536.0,-10101.0,-18760.0,14707.0,crawl
6736.0,-6128.0,-27352.0,-26616.0,435.0,19721.0,crawl
684.0,-8544.0,-13936.0,-4262.0,10796.0,32767.0,crawl
-2944.0,-15888.0,-1072.0,29022.0,-812.0,-1883.0,crawl
-528.0,-7288.0,11060.0,16831.0,-20804.0,15024.0,crawl
8284.0,-8180.0,6000.0,-4144.0,-22484.0,11216.0,crawl
2412.0,-12092.0,-24148.0,-27021.0,-6162.0,16509.0,crawl
-2976.0,-9572.0,-11020.0,-9499.0,1561.0,23783.0,crawl
3252.0,-15732.0,-6880.0,27032.0,5571.0,5749.0,crawl
-3432.0,-7248.0,8852.0,21254.0,-15590.0,9657.0,crawl
9260.0,-4144.0,7900.0,4254.0,-21275.0,12445.0,crawl
9036.0,-13776.0,-13788.0,-21244.0,-16897.0,21346.0,crawl
-8384.0,-11796.0,-16860.0,-14665.0,15293.0,32767.0,crawl
8280.0,-18644.0,-7516.0,23979.0,10982.0,22997.0,crawl
1172.0,-11124.0,8448.0,19864.0,-7395.0,8206.0,crawl
5576.0,-3600.0,11276.0,10063.0,-20306.0,7918.0,crawl
9372.0,-11532.0,-7260.0,-11007.0,-21580.0,16022.0,crawl
-10600.0,84.0,-19464.0,-28978.0,-966.0,11329.0,crawl
8616.0,-14420.0,-10828.0,12142.0,12342.0,32767.0,crawl
3580.0,-17264.0,3360.0,21181.0,-1880.0,10717.0,crawl
1444.0,-4896.0,15500.0,12306.0,-16154.0,4975.0,crawl
13772.0,-10376.0,3564.0,72.0,-18023.0,15541.0,crawl
-2116.0,-14016.0,-11348.0,-27601.0,-10090.0,9165.0,crawl
-7780.0,-8984.0,-17156.0,-9575.0,9887.0,32767.0,crawl
5720.0,-13064.0,-11012.0,20889.0,11958.0,16238.0,crawl
-2380.0,-8156.0,5700.0,22030.0,-8969.0,3402.0,crawl
3800.0,-6088.0,12948.0,5365.0,-19745.0,8229.0,crawl
6580.0,-8136.0,1044.0,-10849.0,-16554.0,15465.0,crawl
10200.0,1012.0,-12268.0,2327.0,-320.0,-1176.0,handsover
10144.0,1160.0,-11936.0,-835.0,-366.0,482.0,handsover
9380.0,1608.0,-11952.0,-157.0,-26.0,-357.0,handsover
9376.0,860.0,-11788.0,1426.0,144.0,523.0,handsover
10052.0,1276.0,-12832.0,-472.0,-67.0,378.0,handsover
9180.0,1604.0,-12012.0,-571.0,-218.0,-371.0,handsover
9388.0,2060.0,-12080.0,-2043.0,219.0,-1765.0,handsover
9644.0,2572.0,-11376.0,-1722.0,-282.0,-674.0,handsover
8464.0,4168.0,-12960.0,2062.0,-1462.0,3479.0,handsover
7616.0,2024.0,-12800.0,2131.0,1804.0,1421.0,handsover
8460.0,596.0,-12288.0,1943.0,320.0,-132.0,handsover
9192.0,-44.0,-13192.0,-588.0,-134.0,204.0,handsover
9128.0,-292.0,-12996.0,319.0,-41.0,911.0,handsover
8604.0,160.0,-11892.0,-1337.0,-2340.0,-1610.0,handsover
10512.0,1676.0,-11756.0,-656.0,-625.0,2231.0,handsover
8600.0,2516.0,-15016.0,664.0,-11902.0,7433.0,handsover
-1476.0,1020.0,-8772.0,-347.0,-649.0,-7861.0,handsover
2652.0,1676.0,-14132.0,110.0,479.0,-355.0,handsover
2096.0,-688.0,-15096.0,-621.0,-295.0,264.0,handsover
1172.0,532.0,-14496.0,-1199.0,-1010.0,450.0,handsover
-1524.0,2332.0,-18144.0,-1909.0,-1931.0,1621.0,handsover
1464.0,-1424.0,-12360.0,1290.0,-4221.0,251.0,handsover
19968.0,-7760.0,-23520.0,32767.0,32767.0,15454.0,handsover
6768.0,1820.0,16972.0,3072.0,-517.0,5688.0,handsover
